Item,Category,Vendor,Estimated,Actual,Paid,Balance
Venue rental,Venue & Catering,Rosewood Gardens,5000,5000,5000,0
Catering (per head x 142),Venue & Catering,Rosewood Catering,4000,3500,2000,1500
Photographer,Photography,Jane Smith Photo,4000,3500,1750,1750
Videographer,Photography,,2000,0,0,0
Bridal bouquet,Florals & Decor,Bloom Studio,300,350,0,350
Bridesmaids bouquets,Florals & Decor,Bloom Studio,400,400,0,400
Centerpieces,Florals & Decor,Bloom Studio,1200,1000,500,500
Ceremony flowers,Florals & Decor,Bloom Studio,600,500,0,500
Wedding dress,Attire & Beauty,Bridal Boutique,2000,1800,1800,0
Alterations,Attire & Beauty,,400,400,0,400
Groom suit,Attire & Beauty,,500,450,450,0
Hair & makeup,Attire & Beauty,,600,600,0,600
DJ,Music & Entertainment,DJ Mike,1500,1500,500,1000
Ceremony music,Music & Entertainment,,300,0,0,0
Invitations,Stationery,Minted,600,550,550,0
Save the dates,Stationery,Minted,200,250,250,0
Programs & menus,Stationery,,300,0,0,0
Guest transportation,Transportation,,500,0,0,0
Wedding favors,Gifts & Favors,,400,0,0,0
Wedding party gifts,Gifts & Favors,,600,0,0,0
Tips & gratuities,Other,,500,0,0,0
Emergency fund,Other,,1000,0,0,0
Marriage license,Other,,100,100,100,0
