Phase,Task,Done,Due Date,Notes
12+ Months,Announce engagement,TRUE,,
12+ Months,Set wedding date,TRUE,,September 14 2025
12+ Months,Determine overall budget,TRUE,,$24500 total
12+ Months,Create guest list estimate,TRUE,,~150 guests
12+ Months,Research venues,TRUE,,
12+ Months,Book venue,TRUE,,Rosewood Gardens
12+ Months,Hire wedding planner,FALSE,,Optional
12+ Months,Book photographer,TRUE,,Jane Smith Photo
9-6 Months,Book caterer,TRUE,,
9-6 Months,Hire florist,TRUE,,Bloom Studio
9-6 Months,Book DJ or band,TRUE,,DJ Mike
9-6 Months,Hire officiant,FALSE,,
9-6 Months,Book hair & makeup,FALSE,1/20/2025,
9-6 Months,Begin dress shopping,TRUE,,
9-6 Months,Order wedding dress,TRUE,,Allow 4-6 months
9-6 Months,Start wedding registry,FALSE,,
9-6 Months,Reserve hotel room blocks,FALSE,,
9-6 Months,Book rehearsal dinner venue,FALSE,,
9-6 Months,Plan honeymoon,FALSE,,
6-3 Months,Send save-the-dates,TRUE,,
6-3 Months,Order invitations,TRUE,,Minted
6-3 Months,Finalize guest list,FALSE,,
6-3 Months,Schedule cake tasting,FALSE,1/25/2025,
6-3 Months,Order wedding cake,FALSE,,
6-3 Months,Purchase wedding bands,FALSE,,
6-3 Months,Book transportation,FALSE,,
6-3 Months,Plan wedding favors,FALSE,,
6-3 Months,Schedule dress fittings,FALSE,,
90 Days,Mail invitations,FALSE,6/14/2025,8-10 weeks before
90 Days,Set up RSVP tracking,FALSE,,
90 Days,Schedule hair/makeup trial,FALSE,,
90 Days,Finalize wedding party attire,FALSE,,
90 Days,Order groom's attire,FALSE,,
90 Days,Apply for marriage license,FALSE,,
90 Days,Confirm honeymoon reservations,FALSE,,
30 Days,Follow up on RSVPs,FALSE,8/14/2025,
30 Days,Submit final guest count,FALSE,,
30 Days,Confirm all vendor times,FALSE,,
30 Days,Finalize seating chart,FALSE,,
30 Days,Final dress fitting,FALSE,,
30 Days,Create day-of timeline,FALSE,,
30 Days,Create playlist for DJ,FALSE,,
30 Days,Prepare toasts,FALSE,,
30 Days,Prepare vendor tip envelopes,FALSE,,
30 Days,Arrange wedding party gifts,FALSE,,
Week Of,Confirm vendor deliveries,FALSE,9/10/2025,
Week Of,Share timeline with wedding party,FALSE,,
Week Of,Pack honeymoon bags,FALSE,,
Week Of,Rehearsal dinner,FALSE,9/12/2025,
Week Of,Give wedding party gifts,FALSE,,
Week Of,Lay out wedding day items,FALSE,9/13/2025,
Week Of,Get a good night's rest,FALSE,9/13/2025,
